,datetime,percentage,value
174,24/06/2023,1,624453.857
175,25/06/2023,1,612471.063
176,26/06/2023,1,749279.821
177,27/06/2023,1,768337.618
178,28/06/2023,1,774001.163
179,29/06/2023,1,767525.667
180,30/06/2023,1,725719.198
181,01/07/2023,1,642890.45
182,02/07/2023,1,611985.105
183,03/07/2023,1,738243.802
184,04/07/2023,1,750519.528
185,05/07/2023,1,752702.652
186,06/07/2023,1,756441.616
187,07/07/2023,1,748314.563
188,08/07/2023,1,661603.637
189,09/07/2023,1,625202.744
190,10/07/2023,1,775301.382
191,11/07/2023,1,816663.695
192,12/07/2023,1,809457.262
193,13/07/2023,1,796200.851
194,14/07/2023,1,796445.044
195,15/07/2023,1,694813.197
196,16/07/2023,1,636176.223
197,17/07/2023,1,777692.764
198,18/07/2023,1,821566.429
199,19/07/2023,1,834559.229
200,20/07/2023,1,814671.915
201,21/07/2023,1,776249.942
202,22/07/2023,1,677737.378
203,23/07/2023,1,641782.776
204,24/07/2023,1,747977.297
205,25/07/2023,1,717836.931
206,26/07/2023,1,729649.435
207,27/07/2023,1,744784.805
208,28/07/2023,1,736663.815
209,29/07/2023,1,676303.324
210,30/07/2023,1,641367.378
211,31/07/2023,1,732462.073
212,01/08/2023,1,748900.565
213,02/08/2023,1,762008.637
214,03/08/2023,1,738233.738
215,04/08/2023,1,684804.993
216,05/08/2023,1,612142.13
217,06/08/2023,1,589396.182
218,07/08/2023,1,672360.143
219,08/08/2023,1,704936.831
220,09/08/2023,1,725573.343
221,10/08/2023,1,741861.546
222,11/08/2023,1,734227.544
223,12/08/2023,1,675068.482
224,13/08/2023,1,628255.192
225,14/08/2023,1,674028.265
226,15/08/2023,1,627297.264
227,16/08/2023,1,692143.18
228,17/08/2023,1,700606.196
229,18/08/2023,1,702680.76
230,19/08/2023,1,664876.996
231,20/08/2023,1,645746.579
232,21/08/2023,1,764970.506
233,22/08/2023,1,786834.057
234,23/08/2023,1,800146.681
235,24/08/2023,1,801835.498
236,25/08/2023,1,791366.859
237,26/08/2023,1,699211.678
238,27/08/2023,1,585358.023
239,28/08/2023,1,661147.42
240,29/08/2023,1,679910.106
241,30/08/2023,1,687222.765
242,31/08/2023,1,691964.483
243,01/09/2023,1,702456.297
244,02/09/2023,1,611501.885
245,03/09/2023,1,561966.054
246,04/09/2023,1,675539.705
247,05/09/2023,1,696676.646
248,06/09/2023,1,708136.136
249,07/09/2023,1,713401.703
250,08/09/2023,1,691678.318
251,09/09/2023,1,618713.347
252,10/09/2023,1,577435.263
253,11/09/2023,1,666103.46
254,12/09/2023,1,700279.064
255,13/09/2023,1,700469.687
256,14/09/2023,1,707868.11
257,15/09/2023,1,699570.51
258,16/09/2023,1,605057.255
259,17/09/2023,1,568331.891
260,18/09/2023,1,660518.846
261,19/09/2023,1,677596.79
262,20/09/2023,1,674288.988
263,21/09/2023,1,675607.185
264,22/09/2023,1,651037.118
265,23/09/2023,1,571090.314
266,24/09/2023,1,535176.203
267,25/09/2023,1,638936.275
268,26/09/2023,1,667820.961
269,27/09/2023,1,678651.429
270,28/09/2023,1,681873.067
271,29/09/2023,1,676528.629
272,30/09/2023,1,601973.622
273,01/10/2023,1,564525.295
274,02/10/2023,1,671705.365
275,03/10/2023,1,688577.261
276,04/10/2023,1,692283.956
277,05/10/2023,1,692563.445
278,06/10/2023,1,694175.069
279,07/10/2023,1,614030.957
280,08/10/2023,1,568059.691
281,09/10/2023,1,657435.969
282,10/10/2023,1,678243.987
283,11/10/2023,1,672486.567
284,12/10/2023,1,571472.17
285,13/10/2023,1,611128.353
286,14/10/2023,1,574689.395
287,15/10/2023,1,538400.62
288,16/10/2023,1,652835.766
289,17/10/2023,1,680718.129
290,18/10/2023,1,685858.398
291,19/10/2023,1,690085.376
292,20/10/2023,1,663241.765
293,21/10/2023,1,573669.665
294,22/10/2023,1,542991.063
295,23/10/2023,1,647288.448
296,24/10/2023,1,662076.889
297,25/10/2023,1,674126.536
298,26/10/2023,1,687964.885
299,27/10/2023,1,674841.664
300,28/10/2023,1,595740.555
301,29/10/2023,1,580270.773
302,30/10/2023,1,659069.122
303,31/10/2023,1,673275.393
304,01/11/2023,1,590486.356
305,02/11/2023,1,676807.642
306,03/11/2023,1,683992.891
307,04/11/2023,1,616968.172
308,05/11/2023,1,569106.864
309,06/11/2023,1,672286.386
310,07/11/2023,1,694168.947
311,08/11/2023,1,708495.478
312,09/11/2023,1,698692.934
313,10/11/2023,1,698168.969
314,11/11/2023,1,623245.893
315,12/11/2023,1,568639.789
316,13/11/2023,1,668153.438
317,14/11/2023,1,678835.166
318,15/11/2023,1,685975.378
319,16/11/2023,1,690382.768
320,17/11/2023,1,678398.116
321,18/11/2023,1,600597.786
322,19/11/2023,1,556605.946
323,20/11/2023,1,670205.895
324,21/11/2023,1,693785.395
325,22/11/2023,1,705159.927
326,23/11/2023,1,709738.883
327,24/11/2023,1,711501.492
328,25/11/2023,1,632136.063
329,26/11/2023,1,598930.677
330,27/11/2023,1,716875.162
331,28/11/2023,1,733261.113
332,29/11/2023,1,731634.626
333,30/11/2023,1,720301.825
334,01/12/2023,1,717568.437
335,02/12/2023,1,642941.412
336,03/12/2023,1,620549.989
337,04/12/2023,1,738276.214
338,05/12/2023,1,746607.749
339,06/12/2023,1,670116.304
340,07/12/2023,1,695828.679
341,08/12/2023,1,632195.699
342,09/12/2023,1,628417.76
343,10/12/2023,1,599411.561
344,11/12/2023,1,707402.491
345,12/12/2023,1,729339.633
346,13/12/2023,1,736135.857
347,14/12/2023,1,740485.945
348,15/12/2023,1,734049.172
349,16/12/2023,1,658081.644
350,17/12/2023,1,632131.508
351,18/12/2023,1,753945.539
352,19/12/2023,1,769594.678
353,20/12/2023,1,776600.909
354,21/12/2023,1,753259.894
355,22/12/2023,1,715570.034
356,23/12/2023,1,634896.296
357,24/12/2023,1,590976.65
358,25/12/2023,1,548537.802
359,26/12/2023,1,648908.107
360,27/12/2023,1,696924.348
361,28/12/2023,1,704808.954
362,29/12/2023,1,693457.822
363,30/12/2023,1,624295.946
364,31/12/2023,1,600650.136
